"graph","keyword_name","keyword_definition"
"graf_3","Co graf zobrazuje","Každá barevná tečka označuje průměrný plat zaměstnanců dané kapitoly v dané kategorii. Jedna tečka tedy může zahrnovat zaměstance více organizací, pokud spadají do jedné kategorie a jsou zařazeny do stejné rozpočtové kapitoly."
"graf_3","Průměr","Velká černá tečka v každé kategorii ukazuje průměrný plat v dané kategorii (všichni zaměstnanci, tj. vážený průměr všech organizací v kategorii)."
"graf_4","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_5","Státní úředníci","Používáme jako obecný pojem zahrnující výše definované kategorie organizací: ústřední orgány a neústřední státní správu."
"graf_5","Průměrná mzda","Jedná se o aritmetický průměr vypočtený s využitím počtu přepočtených úvazků, tj. např. pracovník zaměstnaný na úvazek 0,5 je započten jako 50 % pracovního místa a zaměstnanec pracující pouze např. polovinu roku též jako 50 %. Protože průměr je vypočten jako podíl výdajů a přepočtených počtů, jde o de facto vážený průměr, kde osoby s kratším úvazkem nebo délkou poměru v daném roce mají nižší váhu. Zahrnuje pouze příjmy, které jsou právně definovány jako plat, viz poznámku ke grafu A1."
"graf_5","Průměrná mzda v ekonomice","Mzdy v celé ekonomice ČR a Prahy čerpáme z ČSÚ, datová sada <a href='https://www.czso.cz/csu/czso/prumerna-hruba-mesicni-mzda-a-median-mezd-v-krajich' target='_blank'>110080: Průměrná hrubá měsíční mzda a medián mezd v krajích</a>. Využíváme průměrnou mzdu, tj. aritmetický průměr."
"graf_6","Státní úředníci","Používáme jako obecný pojem zahrnující výše definované kategorie organizací: ústřední orgány a neústřední státní správu."
"graf_6","Průměrná mzda v ekonomice","Mzdy v celé ekonomice ČR a Prahy čerpáme z ČSÚ, datová sada <a href='https://www.czso.cz/csu/czso/prumerna-hruba-mesicni-mzda-a-median-mezd-v-krajich' target='_blank'>110080: Průměrná hrubá měsíční mzda a medián mezd v krajích</a>. Využíváme průměrnou mzdu, tj. aritmetický průměr."
"graf_A1","Zaměstnanci státu","Tento pojem používáme široce – nemáme na mysli státní zaměstnance podle zákona o státní službě."
"graf_A1","Rozpočtová regulace zaměstnanosti","Rozsah organizací, jejichž prostředky na platy a počty zaměstnanců jsou regulovány státním rozpočtem. Kromě ústřední státní správy zahrnuje i ozbrojené sbory, armádu a příspěvkové organizace, včetně škol zřizovaných samosprávami."
"graf_A1","Příspěvkové organizace","Tato kategorie zahrnuje i školy jakožto příspěvkové organizace obcí a krajů, jejichž náklady na zaměstnance jsou hrazeny ze státního rozpočtu formou transferu obcím."
"graf_A1","Ministerstva","Zahrnuje ministerstva a Úřad vlády ČR, tj. včechny ústřední orgány řízené členy vlády. U MV a MO zahrnuje i příslušníky a vojáky zaměstnané v ústředním orgánu."
"graf_A1","Zaměstnanci","Jde o tzv. přepočtené zaměstnance, tj. počty 100% úvazků. Dva zaměstnanci pracující na 0,5 úvazku v tomto součtu platí za 1 zaměstnance. Zaměstnanci pracující na dohody zde zahrnutí nejsou."
"graf_A1","Ostatní ústřední orgány","Zahrnuje ústřední orgány, které neřídí člen vlády. V praxi jde o specializované instituce jako např. ČÚZK nebo regulátory jako např. ERÚ."
"graf_A1","Neústřední státní správa","Zahrnuje organizace typicky podřízené ministerstvům, které většinou poskytují služby, např. Finanční správa nebo Úřad práce."
"graf_A1","Ostatní vč. armády","Široká skupina organizací v rozpočtových kapitolách, které nejsou spravovány ústředními orgány státní správy, např. Akademie věd a TA ČR. Objemově zde dominuje Armáda ČR. Právně jde o organizace, které nevykonávají státní správu."
"graf_A1","Sbory","Skupina oficiálně nazývaná 'složky obrany, bezpečnosti, celní a právní ochrany'. Většinu tvoří příslušníci Policie ČR, Hasičského záchranného sboru, Celní správy a Vězeňské služby. Nezahrnuje Armádu ČR."
"graf_A1","Výdaje na platy","Jedná se pouze o náklady na platy zaměstnanců, tj. v této částce nejsou zahrnuty odvody, ani ostatní platby za provedenou práci, ani další náklady jako např. odstupné. Stejně tak zde nejsou zahrnuty náklady na dohody o provedení práce či o pracovní činnosti (DPP/DPČ). U vojáků a příslušníků sborů zde nejsou zahrnuty ani náborové příspěvky a kázeňské odměny; u vojáků není zahrnut stabilizační příspěvek a příspěvek na bydlení, které jsou téměř plošnou součástí příjmu vojáků, nejsou ale součástí platu."
"graf_A10","Rozpočtové kapitoly","Zahrnují více organizací, vč. ústředního orgánu, např. ministerstva, které je zodpovědné za řízení výdajů celé kapitoly. Vysvětlivky zkratek rozpočtových kapitol - <a href='pdf/zkratky.pdf' target='_blank'>odkaz</a>."
"graf_A10","Schválený a skutečný","Jedná se o srovnání dvou fází rozpočtového cyklu: schváleného rozpočtu a skutečně vykázaného stavu na konci roku. Rozdíl může být buď následkem odchýlení od plánu (např. nenaplnění personálního stavu) nebo realokace zdrojů v průběhu roku (např. přesun prostředků z platových do neplatových položek nebo naopak)."
"graf_A11","Schválený a skutečný","Jedná se o srovnání dvou fází rozpočtového cyklu: schváleného rozpočtu a skutečně vykázaného stavu na konci roku. Rozdíl může být buď následkem odchýlení od plánu (např. nenaplnění personálního stavu) nebo realokace zdrojů v průběhu roku (např. přesun prostředků z platových do neplatových položek nebo naopak)."
"graf_A12","Schválený a skutečný","Jedná se o srovnání dvou fází rozpočtového cyklu: schváleného rozpočtu a skutečně vykázaného stavu na konci roku. Rozdíl může být buď následkem odchýlení od plánu (např. nenaplnění personálního stavu) nebo realokace zdrojů v průběhu roku (např. přesun prostředků z platových do neplatových položek nebo naopak)."
"graf_A13","Rozpočtové kapitoly","Zahrnují více organizací, vč. ústředního orgánu, např. ministerstva, které je zodpovědné za řízení výdajů celé kapitoly. Vysvětlivky zkratek rozpočtových kapitol - <a href='pdf/zkratky.pdf' target='_blank'>odkaz</a>."
"graf_A14","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_A14","Rozdíl oproti grafu 4","Tento graf pro úplnost zahrnuje kapitoly MZV a MV. Ukazuje tak stejné součty kategorií, jako lze nalézt ve Státním závěrečném účtu. Kvůli změně klasifikace některých zaměstnanců v kapitolách MV a MZV ale nelze z tohoto grafu číst souvislou časovou řadu."
"graf_A15","Co graf zobrazuje","Graf zobrazuje roční změny průměrných mezd podle odvětví NACE. Každá tečka zobrazuje změnu průměrného platu v jednom odvětví NACE. Vybraná odvětví jsou barevně zvýrazněna (viz níže)."
"graf_A15","Odvětví NACE","Odvětví ekonomiky, je jich celkem 19. Příkladem jsou stavebnictví, vzdělávání, doprava a skladování. Člení tedy zaměstnance podle oblasti, ve které vyvíjí aktivity jejich zaměstnavatel."
"graf_A15","Veřejná správa","Zkrácené označení pro odvětví NACE 'O - Veřejná správa a obrana; povinné sociální zabezpečení'. Nezahrnuje tedy např. personál ve vzdělávání a zdravotnictví, byť by šlo o zaměstnance ve veřejném sektoru nebo zahrnuté pod rozpočtovou regulací. Naopak zahrnuje zaměstnance ve veřejné správě na úrovni samosprávných celků (obce, kraje)."
"graf_A15","Profesní","Zkrácené označení pro odvětví 'M - Profesní, vědecké a technické činnosti'. Zahrnuto jako jedno z odvětví, vůči kterému mohou zaměstnavatelé ve veřejném sektoru zvažovat platovou konkurenceschopnost."
"graf_A15","ICT","Zkrácené označení pro odvětví 'J - Informační a komunikační činnosti'. Zahrnuto jako jedno z odvětví, vůči kterému mohou zaměstnavatelé ve veřejném sektoru zvažovat platovou konkurenceschopnost."
"graf_A15","Reálné mzdy","Jedná se o průměrné mzdy, resp. jejich změnu očištěnou o inflaci podle indexu spotřebitelských cen."
"graf_A16","Veřejný sektor","Zahrnuje vládní sektor (místní i ústřední) a veřejné finanční a nefinanční podniky. Nejde tedy o sektor vládních institucí, ale o soubor institucí pod veřejnou kontrolou. Oproti množině zaměstnanců pod rozpočtovou regulací zahrnuje některé veřejné podniky, samosprávu, některé nemocnice, vysoké školy aj."
"graf_A17","Zobrazené kategorie","Na rozdíl od předchozích grafů zde oddělujeme zaměstnance v kategorii příspěvkových organizací ministerstva školství, tedy převážně školy. "
"graf_A2","Zaměstnanci státu","Tento pojem používáme široce; nemáme na mysli státní zaměstnance podle zákona o státní službě. Naopak jím označujeme všechny zaměstnance spadající do rozpočtové regulace zaměstnanosti."
"graf_A2","Rozpočtové kapitoly","Zahrnují více organizací, vč. ústředního orgánu, např. ministerstva, které je zodpovědné za řízení výdajů celé kapitoly. Vysvětlivky zkratek rozpočtových kapitol - <a href='pdf/zkratky.pdf' target='_blank'>odkaz</a>."
"graf_A2","Rozpočtová regulace zaměstnanosti","Rozsah organizací, jejichž prostředky na platy a počty zaměstnanců jsou regulovány státním rozpočtem. Kromě ústřední státní správy zahrnuje i ozbrojené sbory, armádu a příspěvkové organizace, včetně škol zřizovaných samosprávami."
"graf_A2","Příspěvkové organizace","Tato kategorie zahrnuje i školy jakožto příspěvkové organizace obcí a krajů, jejichž náklady na zaměstnance jsou hrazeny ze státního rozpočtu formou transferu obcím."
"graf_A3","Průměrná mzda v národním hospodářství","Pro ústřední orgány srovnáváme s Prahou, pro ostatní kategorie s celou ekonomikou ČR. Mzdy v celé ekonomice ČR a Prahy čerpáme z ČSÚ, datová sada <a href=https://www.czso.cz/csu/czso/prumerna-hruba-mesicni-mzda-a-median-mezd-v-krajich>110080: Průměrná hrubá měsíční mzda a medián mezd v krajích</a>. Využíváme průměrnou mzdu, tj. aritmetický průměr."
"graf_A4","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_A5","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_A5","Reálné výdaje","Výdaje převádíme do reálných hodnot (cen roku {YEAR}) s využitím indexu spotřebitelských cen dle datové sady ČSÚ 01022 Indexy spotřebitelských cen."
"graf_A6","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_A6","Reálné výdaje","Výdaje převádíme do reálných hodnot (cen roku {YEAR}) s využitím indexu spotřebitelských cen dle datové sady ČSÚ 01022 Indexy spotřebitelských cen."
"graf_A7","Státní úředníci","Používáme jako obecný pojem zahrnující zaměstnance výše definovaných kategorií organizací: ústřední orgány a neústřední státní správu. Tato množina se nejlépe blíží intuitivně používanému pojmu 'státní úředník'. Pojem naopak nesouvisí s žádnou zákonnou definicí (např. úředníci územních samosprávných celků)."
"graf_A7","Reálné průměrné platy","Průměrné platy převádíme do reálných hodnot (cen roku {YEAR}) s využitím indexu spotřebitelských cen dle datové sady ČSÚ 01022 Indexy spotřebitelských cen."
"graf_A9","Rozpočtové kapitoly","Zahrnují více organizací, vč. ústředního orgánu, např. ministerstva, které je zodpovědné za řízení výdajů celé kapitoly. Vysvětlivky zkratek rozpočtových kapitol - <a href='pdf/zkratky.pdf' target='_blank'>odkaz</a>."
"graf_A9","Schválený a skutečný","Jedná se o srovnání dvou fází rozpočtového cyklu: schváleného rozpočtu a skutečně vykázaného stavu na konci roku."
"prohlizecka","Zdroje dat a výpočtů","V interaktivním nástroji se zobrazují data vycházející ze stejných dat jako předchozích grafech"
"prohlizecka","Záběr a srovnatelnost","Souhrnné kategorie zahrnují i ministerstva zahraničí a obrany, což znemožňuje srovnání v čase u dílčích kategorí před a po roce 2012."
"prohlizecka","Očištění o inflaci","Údaje očištěné o inflaci pracují s cenami roku 2025 na základě indexu spotřebitelských cen dle ČSÚ."
"prohlizecka","Srovnání s ekonomikou","Jde o srovnání průměrného platu v dané skupině organizací resp. zaměstnanců s průměrným platem v ekonomice dle statistik struktury výdělků (ČSÚ)."

